url,title,cluster,page_length_chars,num_sections,num_references,num_categories,num_images,num_infobox_rows
https://en.wikipedia.org/wiki/Machine-learned_interatomic_potential,Machine-learned interatomic potential,0,8460.0,2.0,16.0,3.0,0.0,0.0
https://en.wikipedia.org/wiki/Manifold_hypothesis,Manifold hypothesis,0,4573.0,4.0,7.0,2.0,0.0,0.0
https://en.wikipedia.org/wiki/Manifold_regularization,Manifold regularization,0,18584.0,14.0,28.0,1.0,95.0,0.0
https://en.wikipedia.org/wiki/The_Master_Algorithm,The Master Algorithm,0,3544.0,6.0,8.0,7.0,1.0,11.0
https://en.wikipedia.org/wiki/Matchbox_Educable_Noughts_and_Crosses_Engine,Matchbox Educable Noughts and Crosses Engine,0,16952.0,11.0,32.0,2.0,9.0,0.0
https://en.wikipedia.org/wiki/Matrix_regularization,Matrix regularization,0,10421.0,10.0,9.0,3.0,96.0,0.0
https://en.wikipedia.org/wiki/MAUVE_(metric),MAUVE (metric),0,5821.0,8.0,5.0,4.0,11.0,0.0
https://en.wikipedia.org/wiki/Maximum_inner-product_search,Maximum inner-product search,0,2217.0,2.0,5.0,3.0,5.0,0.0
https://en.wikipedia.org/wiki/Mechanistic_interpretability,Mechanistic interpretability,0,3428.0,6.0,8.0,2.0,1.0,0.0
https://en.wikipedia.org/wiki/Meta-Labeling,Meta-Labeling,0,17666.0,17.0,8.0,1.0,10.0,0.0
https://en.wikipedia.org/wiki/Meta-learning_(computer_science),Meta-learning (computer science),0,18219.0,8.0,28.0,1.0,0.0,0.0
https://en.wikipedia.org/wiki/MLOps,MLOps,0,7438.0,6.0,15.0,1.0,1.0,0.0
https://en.wikipedia.org/wiki/MobileNet,MobileNet,0,6568.0,8.0,13.0,3.0,9.0,9.0
https://en.wikipedia.org/wiki/Mode_collapse,Mode collapse,0,7995.0,5.0,14.0,3.0,0.0,0.0
https://en.wikipedia.org/wiki/Model_compression,Model compression,0,8957.0,6.0,16.0,2.0,10.0,0.0
https://en.wikipedia.org/wiki/Mountain_car_problem,Mountain car problem,0,6533.0,17.0,8.0,1.0,12.0,0.0
https://en.wikipedia.org/wiki/Multi-armed_bandit,Multi-armed bandit,0,48357.0,23.0,78.0,6.0,101.0,0.0
https://en.wikipedia.org/wiki/Multi-task_learning,Multi-task learning,0,31882.0,15.0,58.0,1.0,92.0,0.0
https://en.wikipedia.org/wiki/Multimodal_representation_learning,Multimodal representation learning,0,11148.0,7.0,14.0,1.0,33.0,0.0
https://en.wikipedia.org/wiki/Multimodal_sentiment_analysis,Multimodal sentiment analysis,0,12059.0,10.0,24.0,5.0,0.0,0.0
https://en.wikipedia.org/wiki/Multiple_instance_learning,Multiple instance learning,0,29394.0,16.0,23.0,1.0,106.0,0.0
https://en.wikipedia.org/wiki/Multiple-instance_learning,Multiple-instance learning,0,29394.0,16.0,23.0,1.0,106.0,0.0
https://en.wikipedia.org/wiki/Multiplicative_weight_update_method,Multiplicative weight update method,0,17347.0,14.0,15.0,3.0,123.0,0.0
https://en.wikipedia.org/wiki/Multitask_optimization,Multitask optimization,0,31882.0,15.0,58.0,1.0,92.0,0.0
https://en.wikipedia.org/wiki/Multivariate_adaptive_regression_spline,Multivariate adaptive regression spline,0,14941.0,12.0,9.0,2.0,35.0,0.0
https://en.wikipedia.org/wiki/Native-language_identification,Native-language identification,0,5537.0,8.0,10.0,6.0,0.0,0.0
https://en.wikipedia.org/wiki/Nature_Machine_Intelligence,Nature Machine Intelligence,0,2702.0,4.0,6.0,8.0,5.0,17.0
https://en.wikipedia.org/wiki/Neural_modeling_fields,Neural modeling fields,0,20288.0,6.0,10.0,1.0,10.0,0.0
https://en.wikipedia.org/wiki/Neural_network_quantum_states,Neural network quantum states,0,3483.0,4.0,3.0,3.0,25.0,0.0
https://en.wikipedia.org/wiki/Normalization_(machine_learning),Normalization (machine learning),0,22704.0,19.0,36.0,4.0,130.0,0.0
https://en.wikipedia.org/wiki/Novelty_detection,Novelty detection,0,2514.0,2.0,6.0,5.0,0.0,0.0
https://en.wikipedia.org/wiki/Offline_learning,Offline learning,0,1100.0,2.0,2.0,2.0,1.0,0.0
https://en.wikipedia.org/wiki/Overfitting,Overfitting,0,21503.0,13.0,17.0,5.0,11.0,0.0
https://en.wikipedia.org/wiki/Paraphrasing_(computational_linguistics),Paraphrasing (computational linguistics),0,18897.0,13.0,23.0,2.0,30.0,0.0
https://en.wikipedia.org/wiki/Parity_learning,Parity learning,0,2174.0,3.0,2.0,3.0,4.0,0.0
https://en.wikipedia.org/wiki/Pattern_language_(formal_languages),Pattern language (formal languages),0,8982.0,6.0,9.0,3.0,1.0,0.0
https://en.wikipedia.org/wiki/Pattern_recognition,Pattern recognition,0,28164.0,19.0,24.0,4.0,48.0,0.0
https://en.wikipedia.org/wiki/Perceiver,Perceiver,0,4026.0,7.0,2.0,1.0,0.0,0.0
https://en.wikipedia.org/wiki/PHerc._Paris._4,PHerc. Paris. 4,0,9190.0,4.0,10.0,9.0,2.0,8.0
https://en.wikipedia.org/wiki/Phi_coefficient,Phi coefficient,0,22589.0,9.0,35.0,8.0,43.0,0.0
https://en.wikipedia.org/wiki/Predictive_learning,Predictive learning,0,6975.0,10.0,6.0,1.0,21.0,0.0
https://en.wikipedia.org/wiki/Predictive_state_representation,Predictive state representation,0,4011.0,2.0,3.0,3.0,30.0,0.0
https://en.wikipedia.org/wiki/Preference_learning,Preference learning,0,5639.0,9.0,7.0,2.0,31.0,0.0
https://en.wikipedia.org/wiki/Prior_knowledge_for_pattern_recognition,Prior knowledge for pattern recognition,0,3990.0,5.0,1.0,2.0,14.0,0.0
https://en.wikipedia.org/wiki/Proactive_learning,Proactive learning,0,1596.0,1.0,1.0,3.0,1.0,0.0
https://en.wikipedia.org/wiki/Proaftn,Proaftn,0,3589.0,2.0,8.0,2.0,0.0,0.0
https://en.wikipedia.org/wiki/Probabilistic_numerics,Probabilistic numerics,0,27915.0,12.0,55.0,3.0,69.0,0.0
https://en.wikipedia.org/wiki/Probability_matching,Probability matching,0,2042.0,1.0,0.0,6.0,4.0,0.0
https://en.wikipedia.org/wiki/Product_of_experts,Product of experts,0,1955.0,3.0,2.0,2.0,7.0,0.0
https://en.wikipedia.org/wiki/Products_and_applications_of_OpenAI,Products and applications of OpenAI,1,56987.0,44.0,165.0,2.0,12.0,0.0
https://en.wikipedia.org/wiki/Programming_by_example,Programming by example,0,2522.0,3.0,1.0,5.0,3.0,0.0
https://en.wikipedia.org/wiki/Prompt_engineering,Prompt engineering,0,34037.0,19.0,69.0,7.0,27.0,0.0
https://en.wikipedia.org/wiki/Proximal_gradient_methods_for_learning,Proximal gradient methods for learning,0,12959.0,13.0,21.0,3.0,96.0,0.0
https://en.wikipedia.org/wiki/Purged_cross-validation,Purged cross-validation,0,9943.0,13.0,10.0,2.0,11.0,0.0
https://en.wikipedia.org/wiki/Pythia_(machine_learning),Pythia (machine learning),0,2184.0,1.0,4.0,6.0,1.0,0.0
https://en.wikipedia.org/wiki/Quantification_(machine_learning),Quantification (machine learning),0,13797.0,7.0,35.0,1.0,3.0,0.0
https://en.wikipedia.org/wiki/Quantum_machine_learning,Quantum machine learning,1,65661.0,21.0,118.0,4.0,19.0,0.0
https://en.wikipedia.org/wiki/Rabbit_r1,Rabbit r1,0,11963.0,11.0,34.0,5.0,3.0,6.0
https://en.wikipedia.org/wiki/Rademacher_complexity,Rademacher complexity,0,10067.0,16.0,6.0,2.0,161.0,0.0
https://en.wikipedia.org/wiki/Random_feature,Random feature,0,6428.0,14.0,7.0,3.0,61.0,0.0
https://en.wikipedia.org/wiki/Reasoning_model,Reasoning model,0,33235.0,12.0,64.0,5.0,24.0,6.0
https://en.wikipedia.org/wiki/Reciprocal_human_machine_learning,Reciprocal human machine learning,0,5354.0,3.0,10.0,2.0,1.0,0.0
https://en.wikipedia.org/wiki/Relational_data_mining,Relational data mining,0,2360.0,6.0,2.0,5.0,2.0,0.0
https://en.wikipedia.org/wiki/Reparameterization_trick,Reparameterization trick,0,6085.0,11.0,7.0,2.0,55.0,0.0
https://en.wikipedia.org/wiki/Right_to_explanation,Right to explanation,0,17656.0,8.0,22.0,5.0,1.0,0.0
https://en.wikipedia.org/wiki/Robot_learning,Robot learning,0,7735.0,6.0,11.0,3.0,3.0,0.0
https://en.wikipedia.org/wiki/Robotic_process_automation,Robotic process automation,0,23237.0,15.0,27.0,5.0,2.0,0.0
https://en.wikipedia.org/wiki/ROCm,ROCm,0,17832.0,23.0,47.0,11.0,17.0,18.0
https://en.wikipedia.org/wiki/Rule_induction,Rule induction,0,2434.0,3.0,4.0,3.0,2.0,0.0
